Product#,Figure#,Manufacturer,Product,Release Year,Product Description,product_type_id,Purchased From,purchase_price,exclusive_to_retailer_id,action_figure_description,likeness,storage_location
21,22,bbi,Green Beret 50th Anniversary Edition,2002,One figure in 1952 dress outfit; One figure in modern combat outfit;,1,Small Blue Planet,,,Figure 1; 1952 dress outfit with beret and helmet,,window.left.bottom.middle
21,23,bbi,Green Beret 50th Anniversary Edition,2002,One figure in 1952 dress outfit; One figure in modern combat outfit;,1,Small Blue Planet,,,Figure 2; 2002 camoflauge with beret and boonie hat,,window.left.bottom.middle
22,24,bbi,"Imperial Japanese Navy Pilot, Lieutenant Sakae",2001,,1,Small Blue Planet,,,,,window.left.bottom.lower
23,25,bbi,"Imperial Japanese Navy, Yamamoto Ichiro, Seaman 1st Class",2002,,1,Small Blue Planet,,,,,window.left.bottom.lower
24,26,bbi,Jet,2000,"Purchased complete but loose, no box;",1,Small Blue Planet,14.99,,,,03.01
25,27,bbi,Joanna Dark (without armor),2000,,1,,,,,,03.00
26,28,bbi,"Marine Force Recon, ""Sniper""",1999,Figure has custom facial expression mechanism;,1,Small Blue Planet,29.99,,,,desk.right.top.upper
27,29,bbi,"North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)",2003,,1,,,,,"Walker ""Bud"" Mahurin",03.00
28,30,bbi,"North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)",2003,,1,,,,,"Walker ""Bud"" Mahurin",TBD
29,31,bbi,Perfect Body,2001,Can be used for customization; Currently in original outfit; ,1,Small Blue Planet,14.99,,,,03.36
30,32,bbi,"RAF Fighter Pilot, Squadron Leader Keith Gordon",2002,,1,,,,,,window.right.top.lower
31,33,bbi,"Russian MVD ""Krechet"", ""Falcon""",2001,Russian Special Forces; Needs year of release verified;,1,Small Blue Planet,,,,,03.35
32,34,bbi,"S.W.A.T. Operator, ""Jackson""",2003,,1,,,34,,Colin Farrell,03.00
33,35,bbi,"SEAL UDT, ""Stingray""",2001,,1,Small Blue Planet,,,Comes in all black scuba diving gear and weapons,,desk.right.top.middle
34,36,bbi,U-2 Pilot (Captain Bob Chapman),2003,May be either Air Force or CIA,1,Showcase Comics,,,,,03.00
35,37,bbi,"U.S. 101st Airborne, Figuretoy.com Exclusive Version",2003,Includes camoflauge parachute;,1,Figuretoy.com,,19,,,03.18
36,38,bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",2002,Accessories are delicate;,1,Small Blue Planet,39.99,,,,window.left.bottom.middle
37,39,bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",2002,Accessories are delicate;,1,Small Blue Planet,39.99,,"Figure currently in a state of disarray. Head detached. Broken parts, etc.",,03.19
38,40,bbi,"U.S. Marine Corps, Sergeant Dusty Rhodes",2002,,1,Small Blue Planet,39.99,,,George Clooney,03.00
39,41,bbi,"U.S. Pilot, Lt. ""Doc"" Miller",2001,Needs year f release verified;,1,Small Blue Planet,39.99,,,,03.00
40,42,Blitzkrieg Toyz,"Fidel Casto, El Comandante",2001,,1,,60,,,Fidel Castro,window.right.bottom.lower
41,43,Chronicle Books,Action Soldier (Masterpiece Edition),1996,"Includes book ""G.I. Joe: The Story Behind the Legend.""",1,Gene's Books,60,,,,03.24
42,44,Chronicle Books,Astronaut (Masterpiece Edition),1996,,1,FAO Schwarz,,18,,,window.right.top.upper
43,45,Cotswold Collectibles,German SS Officer,1998,,1,Cotswold Collectibles,,,,,window.left.bottom.lower
44,46,Cotswold Collectibles,Roman First Class Warrior,1998,,1,Cotswold Collectibles,,,,,03.00
45,47,Cotswold Collectibles,Santa Suit with Beard,2003,On Joe Figure;,1,Cotswold Collectibles,,,,,03.08
46,48,Cotswold Collectibles,"U.S. Army MP, WWII",0,Customizing into L.W. Armstrong Honor Guard,1,Cotswold Collectibles,,,,,01.00
47,49,Cotswold Collectibles,Viet Cong Guerrilla,1998,,1,Cotswold Collectibles,,,,,window.left.bottom.lower
48,50,Custom,"20,000 Leagues under the Sea Nautilus Crewman",2003,Customizer: Greg Eaton;,1,,,,,,wall.desk.left
49,51,Custom,8th Army Rear Honor Guard - Armstrong,2002,Christmas gift to dada. In shadowbox with watercolor drawing,1,LA Custom,,,,,wall.door
50,52,Custom,Bulletman Parade Dress,2004,Customizer: Leonard Armstrong;,1,,,,,,03.31
51,53,Custom,Bulletwoman White Wedding,2004,Customizer: Leonard Armstrong;,1,,,,,,03.22
52,54,Custom,Captain Action as Adam West Batman,2001,"Customizer: Wes McCue, Classic Plastick;",1,,,,,Adam West,desk.left.top.middle
53,55,Custom,Mike Cherry augmented G.I. Jane,1999,Customizer: Mike Cherry; Release year estimated.,1,,,,Enhanced hair and breasts. Most joints on body (iuncluding neck) are very loose.,,window.right.bottom.middle
54,56,Custom,Erwin Rommel,1998,Rip-off customizer; Long delay and poor product;,1,Pennsauken Toy Show,,,,Field Marshall Erwin Rommel,03.35
55,57,Custom,Forrest Gump,0,Customizer: Dan Chung;,1,,,,,Tom Hanks,desk.above.02
56,58,Custom,G.I. Elic,2004,Customizer: Leonard Armstrong; HFF Souvenier;,1,,,,Figure 1 of 4 duplicate figures,Alexander Hampshire,04.00
56,59,Custom,G.I. Elic,2004,Customizer: Leonard Armstrong; HFF Souvenier;,1,,,,Figure 2 of 4 duplicate figures,Alexander Hampshire,04.00
56,60,Custom,G.I. Elic,2004,Customizer: Leonard Armstrong; HFF Souvenier;,1,,,,Figure 3 of 4 duplicate figures,Alexander Hampshire,04.00
56,61,Custom,G.I. Elic,2004,Customizer: Leonard Armstrong; HFF Souvenier;,1,,,,Figure 4 of 4 duplicate figures,Alexander Hampshire,04.00
57,62,Custom,Humphrey Bogart as Rick Blaine from Casablanca,2004,Customizer: Leonard Armstrong with head by Bryan Pagan;,1,,,,,Humphrey Bogart,desk.above.02
58,63,Custom,Kid Action as Robin,0,Customizer: Leonard Armstrong;,1,,,,,,03.00
59,64,Custom,Righthand Man,0,Customizer: Leonard Armstrong; Uses bbi Dusty Rhodes figure with custom clothes;,1,,,,,George Clooney,tv.left.top.lower
60,65,DC Direct/DC Collectibles,Aquaman,2006,,1,Showcase Comics,59.99,,,,03.31
61,66,DC Direct/DC Collectibles,Batgirl Classic,2007,Grey costume,1,Showcase Comics,,,,,shelf.20x15.05
62,67,DC Direct/DC Collectibles,Batgirl Variant,2007,Black costume,1,Showcase Comics,,,,,TBD
63,68,DC Direct/DC Collectibles,Batman,2006,Grey & black costume,1,Showcase Comics,69.99,,,,desk.left.top.lower
64,69,DC Direct/DC Collectibles,Batman Classic,2007,Grey & blue costume,1,Showcase Comics,69.99,,,,desk.left.top.lower
65,70,DC Direct/DC Collectibles,Bizarro,2008,,1,Showcase Comics,69.99,,,,03.34
66,71,DC Direct/DC Collectibles,Black Canary,2008,,1,Showcase Comics,89.99,,,,03.04
67,72,DC Direct/DC Collectibles,Catwoman ,2007,,1,Showcase Comics,69.99,,,,03.24
68,73,DC Direct/DC Collectibles,Catwoman Classic,2010,,1,Amazon,64.5,,,,03.14
69,74,DC Direct/DC Collectibles,Flash,2007,,1,Showcase Comics,59.99,,,,03.00
70,75,DC Direct/DC Collectibles,Green Arrow,2008,,1,Showcase Comics,80,,,,03.33
71,76,DC Direct/DC Collectibles,Green Lantern,2006,,1,Showcase Comics,59.99,,,,03.00
72,77,DC Direct/DC Collectibles,Green Lantern Corps,2008,Tomar Re; Abin Sur; NautKeLoi; Hal Jordan,1,Showcase Comics,99.99,,,,03.00
73,78,DC Direct/DC Collectibles,Harley Quinn,2008,,1,Showcase Comics,79.99,,,,03.00
74,79,DC Direct/DC Collectibles,Joker,2008,,1,Showcase Comics,89.99,,,,03.27
75,80,DC Direct/DC Collectibles,Lex Luthor,2006,,1,Showcase Comics,59.99,,,,03.35
76,81,DC Direct/DC Collectibles,Martian Manhunter,2007,,1,Showcase Comics,69.99,,,,03.33
77,82,DC Direct/DC Collectibles,Nightwing,2007,,1,Showcase Comics,,,,,03.00
78,83,DC Direct/DC Collectibles,Power Girl,2007,,1,Showcase Comics,69.99,,,,03.01
79,84,DC Direct/DC Collectibles,Robin Classic,0,,1,Showcase Comics,,,,,03.00
80,85,DC Direct/DC Collectibles,Sgt. Rock,2009,,1,Showcase Comics,90,,,,03.03
81,86,DC Direct/DC Collectibles,Shazam,2007,Captain Marvel,1,Showcase Comics,59.99,,,,03.00
82,87,DC Direct/DC Collectibles,Sinestro,2009,,1,Stormwatch Comics,99.99,,,,03.00
83,88,DC Direct/DC Collectibles,Supergirl Classic,2009,,1,Showcase Comics,89.99,,,,03.00
84,89,DC Direct/DC Collectibles,Superman,2005,"Year of release is estimated based on relase of next figure in series, Hal Jordan Green Lantern (2006).",1,Hall of Heroes,,,,,desk.left.top.lower
85,90,DC Direct/DC Collectibles,Superman Classic,2007,,1,Showcase Comics,69.99,,,,03.00
86,91,DC Direct/DC Collectibles,The Flash: The Golden Age,2009,,1,Showcase Comics,99.99,,,,03.03
87,92,DC Direct/DC Collectibles,Two-Face,2006,,1,Showcase Comics,59.99,,,,03.17
88,93,DC Direct/DC Collectibles,Wonder Woman,2009,,1,Amazon,79.45,,,,03.31
89,94,DC Direct/DC Collectibles,Zatana,2009,,1,Showcase Comics,90,,,,03.00
90,95,DiD,Bernard Law Montgomery,2009,,1,Amazon,,,,Bernard Law Montgomery,03.09
91,96,DiD,HJ - Hitler Jugend,2007,,1,,59.95,,,,03.00
92,97,DiD,Winston Churchill,2013,Two hats in H.01,1,,,,,Winston Churchill,desk.above.01
93,98,Dragon,"""Screaming Eagle"" 101st Airborne (Air Assault), Grenadier, Kevin",2001,,1,,,,,,03.00
94,99,Dragon,"1st Infantry Division ""Big Red One"", (Sergeant) ""Dave"" (Normandy, 1944)",1999,Collector's Edition (750) includes Ron Volstad print;,1,Small Blue Planet,41.99,,,,03.00
95,100,Dragon,"3rd Fallschirmjäger Division (Feldwebel), ""Meyer"" (Ardennes, 1944)",2001,,1,Small Blue Planet,39.99,,,,window.left.bottom.lower
96,101,Dragon,"5th SF Group Green Berets, Mike",2001,,1,Small Blue Planet,34.99,,,,window.left.bottom.middle
97,102,Dragon,"A.F.S.O.C. PJ, ""Bob""",2001,,1,Small Blue Planet,44.99,,,,03.10
98,103,Dragon,Apollo Astronaut,2002,Packaged in two parts: (1) Figure; (2) Base,1,Small Blue Planet,,,,,03.00
99,104,Dragon,"Brothers in Arms, 1st Infantry Division ""Big Red One"", Ehlers Brothers",2003,Walt Ehlers died in the Normandy invasion and was awarded the MOH.,1,,,,Figure 1 of 2 duplicate figures,Walt & Roland Ehlers,03.28
99,105,Dragon,"Brothers in Arms, 1st Infantry Division ""Big Red One"", Ehlers Brothers",2003,Walt Ehlers died in the Normandy invasion and was awarded the MOH.,1,,,,Figure 2 of 2 duplicate figures,Walt & Roland Ehlers,03.28
100,106,Dragon,"Coldstream Guard, Guardsman Malcolm Parks",2002,,1,,,,,,window.left.bottom.upper
101,107,Dragon,Danger Girl - Abbey Chase,2002,,1,,,,,,03.29
102,108,Dragon,"General George S. Patton, Jr., Commander, U.S. Third Army",2004,,1,,,,,George S. Patton,window.left.top.upper
103,109,Dragon,"Hong Kong Police Special Duties Unit (SDU), ""Michael Chan""",1999,,1,,,,,,03.30
104,110,Dragon,"Kriegsmarine Warrant Officer (Stabsbootsmann), Georg (Dieppe, 1942)",2002,,1,The Duffle Bag,36,,,David Duchovny,03.00
105,111,Dragon,"Red Army Rifles NCO (Sergeant), Yuri (Leningrad, 1941)",2002,,1,,,,,,03.36
106,112,Dragon,"Royal Canadian Mounted Police (RCMP), John Steele",2000,,1,,,35,"Wears traditional RCMP red tunic, navy crop pants, and tan campaign hat",,window.left.bottom.upper
107,113,Dragon,"The Desert Fox (Generalfeldmarschall), ""Rommel"" (North Africa, 1942)",2001,Included display case;,1,,45,,,Erwin Rommel,window.right.bottom.lower
108,114,Dragon,"U.S. Army Special Ops. Sergeant, ""Brian"" (Kuwait City, 1991, Gulf War 10th Anniversary)",2001,,1,Small Blue Planet,39.99,,,,03.00
109,115,Dragon,"U.S. Marines, ""Russell"" (Khe Sanh, 1968)",2001,,1,Small Blue Planet,34.99,,,Russell Crowe,03.00
110,116,Dragon,"U.S. Military Mission-Oriented Protective Posture (MOPP) (Nuclear, Biological, Chemical (NBC)), ""Flip""",2002,Military branch unspecified - I made it Army;,1,,,,,,03.31
111,117,Dragon,"U.S. Navy SEAL Team 3 Combat Swimmer, ""Stan",2001,,1,,,,,,03.36
112,118,Dragon,"U.S. Navy SEAL Team Six, ""Steve""",2000,,1,,,,,,desk.right.top.middle
113,119,Dragon,"U.S.A.A.F. Bomber Captain, ""Skip""",2001,,1,,,,,,window.right.top.lower
114,120,Dragon,"U.S.A.F. Thunderbirds Pilot, Brian Bishop, Leader",2001,,1,,,,,"Brian Bishop, U.S.A.F.",03.11
115,121,Dragon,"U.S.M.C. M.O.U.T, ""Duane""",2001,M.O.U.T. = Military Operations on Urban Terrain,1,,,,,,desk.right.top.upper
116,122,Dragon,"U.S.M.C. Sniper, ""Jack"" (Pussan, 1950)",2000,,1,Small Blue Planet,39.99,,,,03.10
117,123,Dragon,"Wiking Division Panzer Officer (Urbersturmfüher) ""Fritz"" (Poland, 1944)",1999,,1,,,,,,window.left.bottom.lower
118,124,Drastic Plastic,Franklin D. Roosevelt,2002,,1,,,,,Franklin D. Roosevelt,tv.right.top.upper
119,125,Dreams and Visions,Air Police,2004,,1,,,,,,03.00
120,126,Dreams and Visions,Blackhawk Boxed Set,2002,"Comes with carded sets ""Air Rescue"" and ""Ice Troops""; Licensed product; Hasbro; DC Comics;",1,Small Blue Planet,,,Figure 1 of 3. Blue Blackhawk uniform with brimmed pilot's cap.,,shelf.20x15.02
120,127,Dreams and Visions,Blackhawk Boxed Set,2002,"Comes with carded sets ""Air Rescue"" and ""Ice Troops""; Licensed product; Hasbro; DC Comics;",1,Small Blue Planet,,,Figure 2 of 3. Air Rescue on spare G.I. Joe (Timeless?) figure.,,03.34
120,128,Dreams and Visions,Blackhawk Boxed Set,2002,"Comes with carded sets ""Air Rescue"" and ""Ice Troops""; Licensed product; Hasbro; DC Comics;",1,Small Blue Planet,,,Figure 3 of 3. Ice Troops outfit on spare G.I. Joe (Timeless Collection?) figure.,,desk.right.top.lower
121,129,Dreams and Visions,Enemy Ace,2003,"Comes with carded sets ""Knight of the Sky"" and ""Duel with the Ace"";  Licensed product; Hasbro; D.C. Comics",1,,,,Figure 1 of 2; Knight of the Sky outfit on Enemy Ace figure that came with set.,,03.35
121,130,Dreams and Visions,Enemy Ace,2003,"Comes with carded sets ""Knight of the Sky"" and ""Duel with the Ace"";  Licensed product; Hasbro; D.C. Comics",1,,,,Figure 2 of 2; Duel with Ace (on Dragon figure),,03.12
122,131,Dreams and Visions,Jackie Johnson from Sgt. Rock and the Men of Easy Company,2002,Licensed product; Hasbro;,1,,,,,,03.29
123,132,Dreams and Visions,"Mademoiselle Marie, Underground Demolition Operation Set",2002,Licensed product; Hasbro;,1,,,,,,03.29
124,133,Dreams and Visions,"Miss Fear, Sword of the Dragon Set",2003,Licensed product; Hasbro; Elite Force;,1,,,,,,03.00
125,134,Dreams and Visions,Sgt. Rock Boxed Set,2000,"Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""",1,,,,Combat uniform,,03.03
126,135,Dreams and Visions,Sgt. Rock Boxed Set,2000,"Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""; ",1,,,,EM uniform set on 2nd custom figure with Bryan Pagan head,,window.left.top.lower
127,136,Dreams and Visions,U.S. Army Tank Crewman,2004,Licensed product; Hasbro; White-haired version;,1,,,,,,window.left.top.middle
128,137,Dreams and Visions,U.S. Navy Ordinance,2004,White haired figure;,1,Dreams and Visions,,,,,03.00
129,138,Dreams and Visions,U.S.M.C. Raider,2004,,1,,,,,,03.06
130,139,Dreams and Visions,Unknown Soldier,2004,Exclusive black trench coat & box version;,1,,,,,,desk.above.03
131,140,Dynamite,Vampirella (Asian Edition),2017,,1,Entertainment Earth,144.99,,,,window.right.bottom.upper
132,141,Enterbay,"Bruce Lee - ""Game of Death""",2006,NOTE: Accessories left in original box.,1,,,,,Bruce Lee,Hospital
133,142,Ertl,Top Cop,1998,Box signed by Don Levine,1,Don Levine at toy show in Pennsauken,,,,,03.00
134,143,Ertl,Top Jake,1998,Box signed by Don Levine,1,Don Levine at toy show in Pennsauken,,,,,03.00
135,144,Figures Toy Company,Evel Kneivel (White outfit),2013,,1,Entertainment Earth,79.99,,,Evel Kneivel,desk.above.02
136,145,Forever Fun,Captain Action as Spider-Man,2012,,1,,,,,,03.27
137,146,Formative,Mechanic - U.S. Army Air Force,2002,,1,,,,,,03.04
138,147,G.I. Joe Collector's Club,Adventurer (African American),2005,AA figure; Includes ATV cloisonne pin;,1,G.I. Joe Collector's Club,43,22,,,tv.left.top.middle
139,148,G.I. Joe Collector's Club,Aged Adventurer,2004,Horseshoe baldie; 2004 G.I. Joe Convention souvenier figure,1,G.I. Joe Collector's Club,72,,,,tv.left.top.middle
140,149,G.I. Joe Collector's Club,Air Adventurer,2002,"Life-like hair and beard; ""Life-like Hair and Beard"" cloisonne pin; Extra head due to hair color problem",1,G.I. Joe Collector's Club,43,22,,,03.00
141,150,G.I. Joe Collector's Club,Arctic Adventurer,2007,Free with membership;,1,G.I. Joe Collector's Club,0,,,,03.21
142,151,G.I. Joe Collector's Club,Battle of Leyte Gulf,2002,"Two American uniforms (dress whites, battle khakis); Two Japanese uniforms (dress navy, battle dress); Only 1 of 2 Japanese uniforms currently on a Joe;",1,G.I. Joe Collector's Club,,23,Figure 1 of 3: Navy Captain in dress whites,,window.left.top.lower
142,152,G.I. Joe Collector's Club,Battle of Leyte Gulf,2002,"Two American uniforms (dress whites, battle khakis); Two Japanese uniforms (dress navy, battle dress); Only 1 of 2 Japanese uniforms currently on a Joe;",1,G.I. Joe Collector's Club,,23,Figure 2 of 3: Navy Captain in battle khakis.,,desk.right.top.middle
142,153,G.I. Joe Collector's Club,Battle of Leyte Gulf,2002,"Two American uniforms (dress whites, battle khakis); Two Japanese uniforms (dress navy, battle dress); Only 1 of 2 Japanese uniforms currently on a Joe;",1,G.I. Joe Collector's Club,,23,Figure 3 of 3: Japanese Captain in Navy dress uniform,,winow.left.bottom.lower
143,154,G.I. Joe Collector's Club,Clear Joe with Super Articulated Body,2002,Free with membership;,1,G.I. Joe Collector's Club,0,22,,,03.16
144,155,G.I. Joe Collector's Club,Clear Joe with Timeless 40th Anniversary Body,2004,Free with membership;,1,G.I. Joe Collector's Club,0,22,,,03.24
145,156,G.I. Joe Collector's Club,"Continental Color Guard, 3rd U.S. Infantry, ""The Old Guard""",1999,"Convention set ""General's Package""",1,G.I. Joe Collector's Club,,23,Figure 1 of 2. Flag bearer,,03.07
145,157,G.I. Joe Collector's Club,"Continental Color Guard, 3rd U.S. Infantry, ""The Old Guard""",1999,"Convention set ""General's Package""",1,G.I. Joe Collector's Club,,23,Figure 2 of 2. Rifle man,,03.07
146,158,G.I. Joe Collector's Club,Counter Culture Adventurer,2003,2003 G.I. Joe Collectors Club convention souvenier,1,G.I. Joe Collector's Club,,,Wild flocked hair and chops;,,tv.left.top.middle
147,159,G.I. Joe Collector's Club,Foreign Adventurer,2006,Free with membership;,1,G.I. Joe Collector's Club,0,,,,03.36
148,160,G.I. Joe Collector's Club,Green Beret (reproduction outfit on vintage Action Soldier),2007,Vintage figure given to me by John Van Note; Boots from Marine Beachhead set,1,G.I. Joe Collector's Club,0,,,,window.left.bottom.middle
149,161,G.I. Joe Collector's Club,Kursk - The Greatest Armored Battle of All Time,2003,Licensed product; Hasbro; One figure talks in German; One figure talks in Russian;,1,G.I. Joe Collector's Club,,23,Figure 1 of 2; German tank commander,,window.left.bottom.lower
149,162,G.I. Joe Collector's Club,Kursk - The Greatest Armored Battle of All Time,2003,Licensed product; Hasbro; One figure talks in German; One figure talks in Russian;,1,G.I. Joe Collector's Club,,23,Figure 2 of 2; Russian tank commander,,03.34
150,163,G.I. Joe Collector's Club,Land Adventurer,2000,Lifelike hair and beard;,1,eBay,,22,Camoflauge BDUs;,,tv.left.top.middle
151,164,G.I. Joe Collector's Club,Man of Asia,2008,Flocked Asian head; Dressed in separate Kung Fu outfit,1,G.I. Joe Collector's Club,0,22,,,tv.left.top.middle
152,165,G.I. Joe Collector's Club,Navy Honor Guard,2004,Free with Convention General's Package; Set was uniform on cards only - used available figure;,1,G.I. Joe Collector's Club,0,,,,03.08
153,166,G.I. Joe Collector's Club,Philippine Invader,2002,2002 G.I. Joe Convention Souvenier figure,1,G.I. Joe Collector's Club,39,23,,,window.left.top.middle
154,167,G.I. Joe Collector's Club,Pony Express,2001,Includes horse; Purchased at 2002 Con; Needs new picture;,1,G.I. Joe Collector's Club,,23,Figure 1 of 2 duplicate figures,,03.16
154,168,G.I. Joe Collector's Club,Pony Express,2001,Includes horse; Purchased at 2002 Con; Needs new picture;,1,G.I. Joe Collector's Club,,23,Figure 2 of 2 duplicate figures. Is this a mistake? Do I really own a second one of these figures?,,02.00
155,169,G.I. Joe Collector's Club,Sea Adventurer,2003,Reproduction Adventure Team figure; Life-like hair and beard; Sea sled cloisonne pin,1,G.I. Joe Collector's Club,43,22,,,tv.left.top.middle
156,170,G.I. Joe Collector's Club,Talking Adventure Team Commander,2003,"Life-like hair and beard; ""I've got a tough assignment for you"" cloisonne pin; Extra head due to beard sculpt problem",1,G.I. Joe Collector's Club,53,22,,,tv.left.top.middle
157,171,G.I. Joe Collector's Club,Talking Astronaut,2003,"Reproduction; Talker; White jump suit, hat, snoopy cap, 2 types of boots",1,G.I. Joe Collector's Club,53,22,,,03.09
158,172,G.I. Joe Collector's Club,Unknown Heroes of WWII,2004,"Incudes two carded sets - Field Triage, Service Dress; Dress uniforms on add'l figures;",1,G.I. Joe Collector's Club,,23,Figure 1 of 4; Navy/Marine Pharmacist Mate in BDU greens,,desk.right.top.upper
158,173,G.I. Joe Collector's Club,Unknown Heroes of WWII,2004,"Incudes two carded sets - Field Triage, Service Dress; Dress uniforms on add'l figures;",1,G.I. Joe Collector's Club,,23,Figure 2 of 4; Navy Dress Whites,,03.27
158,174,G.I. Joe Collector's Club,Unknown Heroes of WWII,2004,"Incudes two carded sets - Field Triage, Service Dress; Dress uniforms on add'l figures;",1,G.I. Joe Collector's Club,,23,Figure 3 of 4; 10th Mountain Division Medic,,03.27
158,175,G.I. Joe Collector's Club,Unknown Heroes of WWII,2004,"Incudes two carded sets - Field Triage, Service Dress; Dress uniforms on add'l figures;",1,G.I. Joe Collector's Club,,23,Figure 4 of 4; Army Service Dress,,window.left.top.lower
159,,Hasbro,Action Marine Beachhead Set,2003,Set #8; Figure currently used elsewhere; Boots used for Green Beret repro,1,,,,,,
160,176,Hasbro,Action Marine Communications Set,2003,Set #3,1,,,,,,03.06
161,177,Hasbro,Action Marine Dress Parade Set,2003,Set #11;,1,,,,,,window.left.top.lower
162,178,Hasbro,Action Marine Dress Parade Set,2003,Set #11;,1,,,,,,TBD
163,179,Hasbro,Action Marine Medic,2003,Set #9;,1,,,50,,,03.32
164,180,Hasbro,Action Pilot Dress Uniform,2005,,1,G.I. Joe Collector's Club,,22,,,window.left.top.middle
165,181,Hasbro,Action Pilot Parade Dress (Vintage),1964,Repro tie;,1,G.I. Ace,,,,,04.00
166,182,Hasbro,Action Pilot Survival Set,2003,Set #4;,1,,,,,,03.32
167,183,Hasbro,Action Sailor,1999,"Comes with life raft, oar, signal light, 2 semiphore flags., rifle, while and blue helmet, sailor cap. Dressed in daily blues.",1,,,43,Blond painted head.,,desk.right.top.middle
168,184,Hasbro,Action Sailor Frogman,2003,Set #2;,1,,,,,,03.25
169,185,Hasbro,Action Sailor Navy Attack,2003,Set #7; Needs plastic sailor hat,1,,,,,,03.07
170,,Hasbro,Action Soldier Accessory Set,2003,Set #6; Figure currently used elsewhere;,1,,,,,,
171,186,Hasbro,Action Soldier Combat Attack Set,2003,Set #1,1,,,,Blond haired figure. Figure has a broken arm at the elbow joint. A new figure has been ordered off Ebay (07.08.2018),,03.00
172,187,Hasbro,Action Soldier Combat Soldier (23rd Set in the Series),2005,"Set #23, was sold exlcusively by G.I. Joe Collector's Club; Also referred to as ""Soldier Field Equipment"" and sometimes other names.",1,G.I. Joe Collector's Club,,22,Using a spare black-haired Timeless collection figure as I do not beleive the set came with its own figure.,,window.left.top.middle
173,188,Hasbro,Action Soldier Military Police,2003,Set #5;,1,,,,Figure in olive drab MP outfit.,,03.33
174,189,Hasbro,Air Force Academy Cadet,2002,Part of a 2 figure set including American Cadet Alliance Marine,1,FAO Schwarz,,18,,,window.left.top.lower
175,190,Hasbro,Airborne at Normandy (Normandy Paratrooper),2000,"Listed on storage bag as ""Normandy Paratrooper""",1,,,,,,window.left.top.middle
176,191,Hasbro,American Cadet Alliance Marine,2002,Part of a 2 figure set including Air Force Academy Cadet,1,FAO Schwarz,,18,Red tunic. White pants. White hat with black brim.,,desk.right.top.upper
177,192,Hasbro,Army Golden Knight,1997,AA Figure; Two outfits (black and gold);,1,FAO Schwarz,140,18,,,03.00
